"1"	"11"	"string"	"string"	"string"	"string"	"string"	"string"	"0"	"string"	"0"	"0"	"11"	"2019/1/11 15:14:02"	""	""	"11"	"2019/1/11 17:43:55"	"1"
"3"	"11"	"abcd"	"DefaultValue"	"DefaultValue"	"abcd"	"<p>请编辑内容!1111</p>"	"2019-01-11T07:26:03.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 15:26:24"	""	""	"11"	"2019/1/11 17:44:28"	"1"
"4"	"11"	"ab1213"	"DefaultValue"	"DefaultValue"	"ab1213"	"<p>请编辑内容!dfasdsa</p>"	"2019-01-11T07:27:36.000Z"	"11"	"Default"	"0"	"60"	"11"	"2019/1/11 15:27:43"	""	""	"11"	"2019/1/11 18:21:02"	"1"
"5"	"11"	"交通运输行业周报：快递行业证券化加速"	"DefaultValue"	"DefaultValue"	"交通运输行业周报：快递行业证券化加速"	"<p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">经济增长方式转变，建议关注具有消费属性的航空、机场、铁路客运、公路和物流，回避生产属性较强的铁路货运、航运和港口。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">怡亚通(002183)、春秋航空(601021)、吉祥航空(603885)这类商业模式清晰、增长确定的细分行业龙头公司已经进入估值合理区间，在兑现业绩增长的过程中股价将企稳反弹。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">深圳机场(000089)深圳竞争力提升对公司发展最重要外部环境，同时公司将受益产能利用率提升、国际航线比例提升和机场收费改革。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">深高速(600548)所辖高速公路小汽车占比高，车流量稳定增长，政府持续回购推动公司资产估值，当前股价明显低估，同时公司实施了限制性股票激励，账面现金充裕，未来转型空间较大。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">广深铁路(601333)受益高铁票价市场化，铁路总公司已经获得高铁票价定价权，预计票价市场化已不远，热门线路的平均票价有望提升。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">电商连续高速增长带动快递业增长，同时快递公司具备广泛C端客户沉淀，未来发展空间巨大，建议买入外运发展，关注艾迪西和大杨创世。&nbsp;</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;""><strong>n推荐组合</strong></p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">怡亚通、外运发展、春秋航空、广深铁路、深高速、</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;""><strong>n风险提示</strong></p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">央企改革涉及面广，并且复杂，存在改革不达预期风险。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">美<a class=""linkBlue"" href=""http://simu.howbuy.com/lianchutouziyouxiangongsi/"" style=""text-decoration-line: none; color: rgb(92, 92, 92);"">联储</a>加息将导致人民币主动或被动贬值，美元负债成本提升，航空、航运公司利润将受损，我们判断美联储在一个季度内再度加息的概率较大。</p><p style=""color: rgb(92, 92, 92); font-size: 14px; line-height: 26px; padding: 3px; font-family: &quot;Microsoft YaHei&quot;; white-space: normal;"">油价暴跌远超市场预期，当前油价已经维持较长时间低位，存在报复性反弹的风险。</p><p><br/></p>"	"2019-01-11T08:56:59.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 16:57:13"	""	""	""	""	"0"
"6"	"11"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"DefaultValue"	"DefaultValue"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"<p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">新华报业网讯　今年央视3·15晚会曝光部分快递企业为网店“空包刷信誉”的行为，快递企业明知网店没有包裹，还为其“发”空单，以此提高网店信誉度。记者21日从省邮政管理局了解到，按照国家邮政局最新通知，江苏将就此开展专项检查。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">国家邮政局紧急下发通知，要求各快递企业严格按照《寄递服务用户个人信息安全管理规定》，确保寄递用户的信息安全，并且要求企业进一步强化内部规范管理，严禁从业人员组织或参与违法违规活动。省邮政管理局市场监察处处长杨月新表示，日前已对全省快递企业进行相关通知的宣贯，要求各企业严格执行收寄验视制度，并提醒客户，禁止利用“空包”从事刷信用等违法活动。“我省将从源头抓起，要求用户填全寄单信息，如果用户拒绝，快递企业将不予收寄。”</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">杨月新说，目前法律上并没有限制空包寄送。物流渠道的“净化”，只是通过限制措施提高“空包快递”的违法成本，但无法真正杜绝。记者了解到，现在快递寄送规则是，只要顾客不寄递国家明文禁止的东西，快递都要发送包裹，甚至包括空包裹。如果网店为了刷信誉，寄的不是商品，而是一包纸巾或一个钥匙扣，快递企业也应发送这种“伪空包”。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">江苏钟山明镜律师事务所主任律师吴建说，想要真正杜绝“空包刷信誉”行为，仍需电商平台从源头加强监管，完善治理机制。电商平台应用技术手段识别、严控该行为，“一旦发现空包、刷信誉立即惩戒，并加大处罚力度，才能从根源上杜绝刷信用的行为。”</p><p><br/></p>"	"2019-01-11T08:58:12.000Z"	"11"	"Default"	"0"	"60"	"11"	"2019/1/11 16:58:20"	""	""	""	""	"0"
"7"	"11"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"DefaultValue"	"DefaultValue"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"<p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">新华报业网讯　今年央视3·15晚会曝光部分快递企业为网店“空包刷信誉”的行为，快递企业明知网店没有包裹，还为其“发”空单，以此提高网店信誉度。记者21日从省邮政管理局了解到，按照国家邮政局最新通知，江苏将就此开展专项检查。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">国家邮政局紧急下发通知，要求各快递企业严格按照《寄递服务用户个人信息安全管理规定》，确保寄递用户的信息安全，并且要求企业进一步强化内部规范管理，严禁从业人员组织或参与违法违规活动。省邮政管理局市场监察处处长杨月新表示，日前已对全省快递企业进行相关通知的宣贯，要求各企业严格执行收寄验视制度，并提醒客户，禁止利用“空包”从事刷信用等违法活动。“我省将从源头抓起，要求用户填全寄单信息，如果用户拒绝，快递企业将不予收寄。”</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">杨月新说，目前法律上并没有限制空包寄送。物流渠道的“净化”，只是通过限制措施提高“空包快递”的违法成本，但无法真正杜绝。记者了解到，现在快递寄送规则是，只要顾客不寄递国家明文禁止的东西，快递都要发送包裹，甚至包括空包裹。如果网店为了刷信誉，寄的不是商品，而是一包纸巾或一个钥匙扣，快递企业也应发送这种“伪空包”。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">江苏钟山明镜律师事务所主任律师吴建说，想要真正杜绝“空包刷信誉”行为，仍需电商平台从源头加强监管，完善治理机制。电商平台应用技术手段识别、严控该行为，“一旦发现空包、刷信誉立即惩戒，并加大处罚力度，才能从根源上杜绝刷信用的行为。”</p><p><br/></p>"	"2019-01-11T08:59:39.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 16:59:43"	""	""	""	""	"0"
"8"	"11"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"DefaultValue"	"DefaultValue"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"<p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">新华报业网讯　今年央视3·15晚会曝光部分快递企业为网店“空包刷信誉”的行为，快递企业明知网店没有包裹，还为其“发”空单，以此提高网店信誉度。记者21日从省邮政管理局了解到，按照国家邮政局最新通知，江苏将就此开展专项检查。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">国家邮政局紧急下发通知，要求各快递企业严格按照《寄递服务用户个人信息安全管理规定》，确保寄递用户的信息安全，并且要求企业进一步强化内部规范管理，严禁从业人员组织或参与违法违规活动。省邮政管理局市场监察处处长杨月新表示，日前已对全省快递企业进行相关通知的宣贯，要求各企业严格执行收寄验视制度，并提醒客户，禁止利用“空包”从事刷信用等违法活动。“我省将从源头抓起，要求用户填全寄单信息，如果用户拒绝，快递企业将不予收寄。”</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">杨月新说，目前法律上并没有限制空包寄送。物流渠道的“净化”，只是通过限制措施提高“空包快递”的违法成本，但无法真正杜绝。记者了解到，现在快递寄送规则是，只要顾客不寄递国家明文禁止的东西，快递都要发送包裹，甚至包括空包裹。如果网店为了刷信誉，寄的不是商品，而是一包纸巾或一个钥匙扣，快递企业也应发送这种“伪空包”。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">江苏钟山明镜律师事务所主任律师吴建说，想要真正杜绝“空包刷信誉”行为，仍需电商平台从源头加强监管，完善治理机制。电商平台应用技术手段识别、严控该行为，“一旦发现空包、刷信誉立即惩戒，并加大处罚力度，才能从根源上杜绝刷信用的行为。”</p><p><br/></p>"	"2019-01-11T09:01:03.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:01:04"	""	""	"11"	"2019/1/14 20:09:13"	"1"
"9"	"11"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"DefaultValue"	"DefaultValue"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"<p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">新华报业网讯　今年央视3·15晚会曝光部分快递企业为网店“空包刷信誉”的行为，快递企业明知网店没有包裹，还为其“发”空单，以此提高网店信誉度。记者21日从省邮政管理局了解到，按照国家邮政局最新通知，江苏将就此开展专项检查。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">国家邮政局紧急下发通知，要求各快递企业严格按照《寄递服务用户个人信息安全管理规定》，确保寄递用户的信息安全，并且要求企业进一步强化内部规范管理，严禁从业人员组织或参与违法违规活动。省邮政管理局市场监察处处长杨月新表示，日前已对全省快递企业进行相关通知的宣贯，要求各企业严格执行收寄验视制度，并提醒客户，禁止利用“空包”从事刷信用等违法活动。“我省将从源头抓起，要求用户填全寄单信息，如果用户拒绝，快递企业将不予收寄。”</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">杨月新说，目前法律上并没有限制空包寄送。物流渠道的“净化”，只是通过限制措施提高“空包快递”的违法成本，但无法真正杜绝。记者了解到，现在快递寄送规则是，只要顾客不寄递国家明文禁止的东西，快递都要发送包裹，甚至包括空包裹。如果网店为了刷信誉，寄的不是商品，而是一包纸巾或一个钥匙扣，快递企业也应发送这种“伪空包”。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">江苏钟山明镜律师事务所主任律师吴建说，想要真正杜绝“空包刷信誉”行为，仍需电商平台从源头加强监管，完善治理机制。电商平台应用技术手段识别、严控该行为，“一旦发现空包、刷信誉立即惩戒，并加大处罚力度，才能从根源上杜绝刷信用的行为。”</p><p><br/></p>"	"2019-01-11T09:02:17.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:02:23"	""	""	"11"	"2019/1/11 18:19:30"	"1"
"10"	"11"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"DefaultValue"	"DefaultValue"	"江苏严查“空包刷信誉”行为 快递须严格执行收寄验视"	"<p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">新华报业网讯　今年央视3·15晚会曝光部分快递企业为网店“空包刷信誉”的行为，快递企业明知网店没有包裹，还为其“发”空单，以此提高网店信誉度。记者21日从省邮政管理局了解到，按照国家邮政局最新通知，江苏将就此开展专项检查。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">国家邮政局紧急下发通知，要求各快递企业严格按照《寄递服务用户个人信息安全管理规定》，确保寄递用户的信息安全，并且要求企业进一步强化内部规范管理，严禁从业人员组织或参与违法违规活动。省邮政管理局市场监察处处长杨月新表示，日前已对全省快递企业进行相关通知的宣贯，要求各企业严格执行收寄验视制度，并提醒客户，禁止利用“空包”从事刷信用等违法活动。“我省将从源头抓起，要求用户填全寄单信息，如果用户拒绝，快递企业将不予收寄。”</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">杨月新说，目前法律上并没有限制空包寄送。物流渠道的“净化”，只是通过限制措施提高“空包快递”的违法成本，但无法真正杜绝。记者了解到，现在快递寄送规则是，只要顾客不寄递国家明文禁止的东西，快递都要发送包裹，甚至包括空包裹。如果网店为了刷信誉，寄的不是商品，而是一包纸巾或一个钥匙扣，快递企业也应发送这种“伪空包”。</p><p style=""color: rgb(37, 37, 37); font-size: 14px; line-height: 26px; padding: 3px; white-space: normal; text-indent: 2em; font-family: 宋体, sans-serif; text-align: justify;"">江苏钟山明镜律师事务所主任律师吴建说，想要真正杜绝“空包刷信誉”行为，仍需电商平台从源头加强监管，完善治理机制。电商平台应用技术手段识别、严控该行为，“一旦发现空包、刷信誉立即惩戒，并加大处罚力度，才能从根源上杜绝刷信用的行为。”</p><p><br/></p>"	"2019-01-11T09:03:17.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:03:18"	""	""	""	""	"0"
"11"	"11"	"1111"	"DefaultValue"	"DefaultValue"	"1111"	"<p>2222<br/></p>"	"2019-01-11T09:06:44.000Z"	"11"	"Default"	"0"	"50"	"11"	"2019/1/11 17:06:47"	""	""	"11"	"2019/1/11 18:20:44"	"1"
"13"	"11"	"324"	"DefaultValue"	"DefaultValue"	"324"	"<p>32423<br/></p>"	"2019-01-30T16:00:00.000Z"	"11"	"Default"	"0"	"234"	"11"	"2019/1/11 17:07:17"	""	""	"11"	"2019/1/11 18:19:42"	"1"
